TotalRequired,  320
t_hold_target,  450
T_Hold_Lev,  1000


346720,98 144 
347196,67 101 
347197,91 100 
347197,91 51 
347238,87 1
347238,87 2
347238,87 2
347238,87 60 
347423,53 61 
348437,96 62 
348456,3 64 
348885,68 121 
349410,53 125 
349765,36 137 
349919,71 65 
350466,2 144 
350467,83 144 
350469,06 144 
350946,11 101 
350947,31 100 
350947,31 51 
350987,54 1
350987,54 2
350987,54 1
350987,54 60 
351137,05 61 
352058,17 63 
352071,88 60 
352453,62 111 
352766,67 114 
352803,31 60 
352987,21 61 
354004,97 62 
354470,86 64 
354863,44 121 
355412,56 125 
355827,23 137 
355931,97 65 
356481,05 144 
356482,67 144 
356484,04 144 
356960,34 101 
356961,52 100 
356961,52 51 
357003,44 1
357003,44 2
357003,44 2
357003,44 60 
357043,45 61 
358052,85 62 
358306,71 64 
358647,8 121 
359219,34 125 
359697,83 137 
359767,27 65 
360280,74 144 
360282,32 144 
360283,54 144 
360759,87 101 
360761,33 100 
360761,33 51 
360800,97 1
360800,97 1
360800,97 2
360800,97 60 
360903,27 61 
361916,47 62 
362044,72 64 
362420,17 121 
362930,28 125 
363265,06 137 
363446,07 65 
363995,1 144 
363996,57 144 
363998,22 144 
364474,76 101 
364475,9 100 
364475,9 51 
364516,39 1
364516,39 2
364516,39 2
364516,39 60 
364553,43 61 
365584,96 62 
365723,85 64 
366202,2 121 
366739,44 125 
367158,81 137 
367248,06 65 
367793,61 144 
367794,89 144 
367796,12 144 
368273,1 101 
368275,05 100 
368275,05 51 
368315,54 1
368315,54 1
368315,54 1
368315,54 60 
368348,31 61 
369364,67 62 
369532,36 64 
369926,11 121 
370483,19 125 
370993,82 65 
371426,32 137 
371535,99 144 
371537,72 144 
371539,4 144 
372022,7 101 
372023,86 100 
372023,86 51 
372065,93 2
372065,93 2
372065,93 2
372065,93 60 
372102,54 61 
373130,61 62 
373468,6 64 
373794,33 121 
374319,49 125 
374825,8 66 
375395,52 144 
375397,82 144 
375854,98 101 
375856,11 100 
375856,11 51 
375879,48 1
375879,48 2
375879,48 2
375879,48 60 
375884,46 111 
376297,52 114 
376345,7 60 
376535,79 61 
377544,46 62 
378047,55 64 
378372,63 121 
378902,61 125 
379322,07 137 
379423,71 65 
379973,06 144 
379974,55 144 
379975,63 144 
380452,79 101 
380453,97 100 
380453,97 51 
380494,41 2
380494,41 2
380494,41 2
380494,41 60 
380725,59 61 
381743,26 62 
381772,25 64 
382223 121 
382743,2 125 
383251,09 137 
383311,23 66 
383805,92 144 
383807,67 144 
383809,12 144 
384286,08 101 
384287,26 100 
384287,26 51 
384326,41 1
384326,41 2
384326,41 2
384326,41 60 
384449,02 61 
385461,67 62 
386780,61 64 
387094,41 121 
387614,57 125 
387983,11 137 
388122,34 65 
388646,72 144 
388648,08 144 
388649,29 144 
389134,24 101 
389135,4 100 
389135,4 51 
389174,71 2
389174,71 2
389174,71 2
389174,71 60 
389215,78 61 
390243,3 62 
390449,54 64 
390833,5 121 
391407,54 125 
391904,05 137 
391986,42 66 
392484,37 144 
392486,18 144 
392487,77 144 
394539,52 101 
394541,05 100 
394541,05 51 
394590 1
394590 2
394590 2
394590 60 
394969,04 111 
395165,72 114 
395206,02 60 
395394,66 61 
396406,94 62 
396661,41 64 
397028,4 121 
397577,54 125 
398044,22 137 
398103,06 65 
398640,66 144 
398642,27 144 
398644,27 144 
399114,2 101 
399115,37 100 
399115,37 51 
399154,8 1
399154,8 2
399154,8 2
399154,8 60 
399242,12 61 
400259,96 62 
400283,97 64 
400652,85 121 
401177,26 125 
401700,47 65 
401777,72 137 
402251,64 144 
402252,8 144 
402253,9 144 
402729,75 101 
402730,94 100 
402730,94 51 
402770,51 1
402770,51 2
402770,51 2
402770,51 60 
402939,1 61 
403952,91 62 
404256,67 64 
404609,24 121 
405125,65 125 
405547,43 137 
405633,31 65 
406181,96 144 
406183,67 144 
406184,69 144 
406661,16 101 
406662,32 100 
406662,32 51 
406702,48 1
406702,48 2
406702,48 2
406702,48 60 
406772,95 61 
407785,97 62 
407871,64 64 
408266,99 121 
408820,57 125 
409158,42 137 
409333,93 65 
409880,75 144 
409884,05 144 
409885,25 144 
410360,65 101 
410361,88 100 
410361,88 51 
410401,63 1
410401,63 1
410401,63 1
410401,63 60 
410923,35 61 
411936,19 62 
412432,43 64 
412666,03 121 
413220,56 125 
413731,84 65 
413749,57 137 
414279,5 144 
414281,05 144 
414282,11 144 
414758,99 101 
414760,15 100 
414760,15 51 
414799,78 1
414799,78 2
414799,78 2
414799,78 60 
414890 61 
415902,05 62 
416002,36 64 
416363,86 121 
416938,77 125 
417360,28 137 
417446,23 65 
417993,87 144 
417995,3 144 
417996,21 144 
418473,26 101 
418474,49 100 
418474,49 51 
418515,14 1
418515,14 2
418515,14 2
418515,14 60 
418554,63 61 
419566,72 62 
419846,13 64 
420185,54 121 
420727,4 125 
421034,59 137 
421244,74 65 
421777,54 144 
421779,4 144 
421780,39 144 
422257 101 
422258,37 100 
422258,37 51 
422297,43 2
422297,43 2
422297,43 2
422297,43 60 
422545 61 
423563,59 62 
423582,52 64 
423956,34 121 
424487,41 125 
424961,43 137 
425025,03 66 
425574,13 144 
425576,06 144 
425577,56 144 
426995,05 101 
426996,59 100 
426996,59 51 
427031,56 1
427031,56 1
427031,56 2
427031,56 60 
427239,93 111 
427804,33 114 
427845,39 60 
427990,65 61 
429012,03 62 
429243,94 64 
429560,61 121 
430054,52 125 
430510 137 
430578,47 65 
431106,47 144 
431109,63 144 
431111,07 144 
431586,28 101 
431587,5 100 
431587,5 51 
431627,66 2
431627,66 2
431627,66 2
431627,66 60 
431657 61 
432677,72 63 
432693,72 60 
433068,4 111 
433248,96 114 
433293,46 60 
434191,77 61 
434795,58 63 
434809,98 60 
435133,99 111 
435425,24 114 
435460,23 60 
435526,31 61 
436545,84 62 
437168,8 64 
437464,43 121 
437983,42 125 
438190,55 137 
438504,36 66 
439053,86 144 
439055,48 144 
439056,69 144 
441126,73 101 
441128,36 100 
441128,36 51 
441175,52 2
441175,52 2
441175,52 2
441175,52 60 
441441 111 
441851,03 114 
441891,22 60 
442002,73 61 
443023,74 62 
444359,78 64 
444738,09 121 
445291,33 125 
445708,09 137 
445803,78 66 
446338,46 101 
446392,09 8
446392,09 52 
446459,12 100 
446459,12 52 
446472,76 1
446472,76 1
446472,76 2
446472,76 60 
447303,11 61 
448322,17 62 
448340,15 64 
448797,05 122 
449360,56 125 
449623,04 137 
449868,07 65 
450415,62 144 
450417,23 144 
450418,65 144 
450897,25 101 
450898,55 100 
450898,55 52 
450938,02 1
450938,02 2
450938,02 1
450938,02 60 
450966,96 61 
451991,45 62 
452381,74 64 
452716,04 122 
453245,1 125 
453650,43 137 
453769,52 65 
454317,14 144 
454319,04 144 
454320,25 144 
456285,41 101 
456286,86 100 
456286,86 52 
456336,02 1
456336,02 2
456336,02 1
456336,02 60 
456864,83 61 
457887,4 62 
458048,95 64 
458364,87 122 
458922,26 125 
459431,56 65 
459443,24 137 
459980,1 144 
459981,84 144 
459983,07 144 
460459,9 101 
460461,04 100 
460461,04 52 
460501,83 2
460501,83 2
460501,83 2
460501,83 60 
460539,43 61 
461569,98 62 
461765,81 64 
462105,52 122 
462666,06 125 
462948,96 137 
463180 66 
463729,63 144 
463731,44 144 
463732,88 144 
465479,72 101 
465481,44 100 
465481,44 52 
465518,04 1
465518,04 2
465518,04 2
465518,04 60 
465780,04 112 
465919,49 114 
465966,03 60 
466157,58 61 
467167,76 62 
467754,41 64 
468116,14 123 
468651,54 125 
468784,51 137 
469161,2 66 
469710,31 144 
469711,64 144 
469712,97 144 
469942,54 142 
470049,17 144 
470051,03 144 
470190,25 101 
470191,37 100 
470191,37 52 
470232,39 2
470232,39 2
470232,39 2
470232,39 60 
470276,87 112 
470635,9 114 
470681,44 60 
471684,74 61 
472698,36 62 
473153,79 64 
473438,95 122 
473969,85 125 
474425,64 137 
474476,16 66 
475025,82 144 
475027,42 144 
475028,51 144 
483351,55 101 
483353,07 100 
483353,07 52 
483393,87 1
483393,87 2
483393,87 2
483393,87 60 
483645,82 112 
484666,29 114 
484710,26 60 
485717,6 61 
