TotalRequired,  200
t_hold_target,  450
T_Hold_Lev,  1000


1162387,15 125 
1162896,89 65 
1163416,41 144 
1163417,68 144 
1163821,98 144 
1163908,01 101 
1163909,08 100 
1163909,08 53 
1163950,24 2
1163950,24 2
1163950,24 1
1163950,24 60 
1164212,95 61 
1165233,86 62 
1165248,68 64 
1165433,68 123 
1165953,68 125 
1166461,18 66 
1166981,54 144 
1166983,54 144 
1167082,97 144 
1167474,08 101 
1167475,2 100 
1167475,2 53 
1167514,38 1
1167514,38 1
1167514,38 1
1167514,38 60 
1268940,62 111 
1269713,46 114 
1269747,58 60 
1269977,08 111 
1270072,11 114 
1270113,98 60 
1270278,12 61 
1271297,01 62 
1271448,31 64 
1271724,63 121 
1272295,27 125 
1272488,16 137 
1272809,49 65 
1273357,75 144 
1273359,67 144 
1273361,64 144 
1273837,9 101 
1273838,99 100 
1273838,99 53 
1273879,36 1
1273879,36 2
1273879,36 2
1273879,36 60 
1273950,38 61 
1274956,75 63 
1274980,29 60 
1275219,18 111 
1275615,36 114 
1275663,05 60 
1275855,83 61 
1276879,27 62 
1276963,66 64 
1277230,2 121 
1277791,26 125 
1278120 137 
1278308,23 66 
1278856,93 144 
1278858,57 144 
1278859,94 144 
1280679,62 101 
1280680,77 100 
1280680,77 53 
1280710,55 1
1280710,55 2
1280710,55 2
1280710,55 60 
1280963,17 111 
1281742,57 114 
1281776,87 60 
1282133,63 61 
1283144,25 62 
1284657,14 64 
1285376,61 121 
1285887,75 125 
1286307,22 137 
1286405,95 66 
1286936,73 144 
1286938,38 144 
1286941,41 144 
1287416,36 101 
1287417,46 100 
1287417,46 53 
1287458,52 1
1287458,52 2
1287458,52 2
1287458,52 60 
1329728,01 61 
1330744,57 62 
1330835,64 64 
1340751,89 252 
1340751,89 101 
1340753,57 100 
1340753,57 53 
1340774,24 1
1340774,24 2
1340774,24 2
1340774,24 60 
1384748,55 61 
1385455,96 63 
1385476,28 60 
1450322,32 61 
1450984,78 63 
1451004,82 60 
1492172,85 61 
1492234,17 63 
1492241,85 60 
1492261,51 61 
1493182,22 63 
1493191,53 60 
1493375,68 111 
1494061,84 114 
1494107,02 60 
1494883,51 61 
1495906,46 62 
1496143,65 64 
1496378,25 123 
1496896,35 125 
1497158,44 137 
1497418,46 65 
1497967,36 144 
1497968,94 144 
1497969,93 144 
1499650,82 101 
1499652,41 100 
1499652,41 53 
1499689,71 1
1499689,71 2
1499689,71 2
1499689,71 60 
1499926,59 112 
1500026,53 114 
1500057,3 60 
1500352,95 61 
1501370,77 62 
1501604,79 64 
1501837,02 122 
1502344,23 125 
1502673,54 137 
1502851,92 66 
1503382,78 144 
1503384,46 144 
1503385,57 144 
1505171,01 101 
1505172,26 100 
1505172,26 53 
1505220,17 1
1505220,17 2
1505220,17 2
1505220,17 60 
1505665,18 61 
1506686,57 62 
1507096,08 64 
1507374,43 121 
1507933,75 125 
1508105,92 137 
1508450,12 66 
1508979,9 144 
1508981,46 144 
1508982,65 144 
1511183,16 101 
1511184,62 100 
1511184,62 53 
1511234,81 1
1511234,81 2
1511234,81 2
1511234,81 60 
1511432,12 112 
1512828,3 114 
1512867,7 60 
1513282,37 61 
1514299,63 62 
1517053,92 64 
1517320,1 121 
1517839,45 125 
1518314,33 137 
1518379,49 66 
1518892,83 144 
1518894,46 144 
1518895,83 144 
1519375,34 101 
1519376,4 100 
1519376,4 53 
1519415,7 1
1519415,7 1
1519415,7 2
1519415,7 60 
1628889,77 61 
1629909,5 63 
1629930,73 60 
1630191,38 112 
1630550,37 114 
1630595,51 60 
1630700,8 61 
1631712,17 62 
1631821,58 64 
1632063,38 123 
1632625,99 125 
1632857,88 137 
1633141,05 65 
1633689,72 144 
1633691,3 144 
1633692,43 144 
1635207,98 101 
1635209,31 100 
1635209,31 53 
1635245,27 1
1635245,27 2
1635245,27 2
1635245,27 60 
1635465,16 111 
1635906 114 
1635944,06 60 
1636038,01 61 
1637059,92 62 
1637386,17 64 
1637622,12 121 
1638159,85 125 
1638337,32 137 
1638672,96 66 
1639220,96 144 
1639222,72 144 
1639223,97 144 
1640747,98 101 
1640749,34 100 
1640749,34 53 
1640792,1 2
1640792,1 2
1640792,1 1
1640792,1 60 
1640994,94 111 
1642120,95 114 
1642158,47 60 
1642316,13 61 
1643317,35 63 
1643325,4 60 
1643512,48 113 
1644031,43 114 
1644074,25 60 
1644301,6 61 
1645323,57 62 
1645569,13 64 
1645810,12 121 
1646359,63 125 
1646596,02 137 
1646870,69 65 
1647418,71 144 
1647420,13 144 
1647421,32 144 
1647898,1 101 
1647899,22 100 
1647899,22 53 
1647939,61 1
1647939,61 2
1647939,61 2
1647939,61 60 
1648188,98 61 
1649206,49 62 
1649312,14 64 
1649567,17 121 
1650094,65 125 
1650416,63 137 
1650603,77 66 
1651149,57 144 
1651150,96 144 
1651152,19 144 
1651630,73 101 
1651631,81 100 
1651631,81 53 
1651672,98 2
1651672,98 1
1651672,98 2
1651672,98 60 
1652586,37 61 
1653604,64 62 
1653645,03 64 
1653856,22 121 
1654387,97 125 
1654746,15 137 
1654902,33 66 
1655448,98 144 
1655450,43 144 
1655451,63 144 
1655929,07 101 
1655930,22 100 
1655930,22 53 
1655970,47 1
1655970,47 2
1655970,47 2
1655970,47 60 
1667212,17 111 
1667290,87 114 
1667323,46 60 
1669220,27 111 
1670136,78 114 
1670182,33 60 
1670939,31 111 
1671407,33 114 
1671448,43 60 
1672120,69 111 
1672192,33 114 
1672215,61 60 
1672327,29 111 
1673410,96 114 
1673447,97 60 
1673612,11 111 
1674132,51 114 
1674181,08 60 
1674357,23 111 
1674574,84 114 
1674614,22 60 
1674648,41 111 
1674887,82 114 
1674930,77 60 
1784230,59 61 
1785245,52 62 
1785409,89 64 
1785651,94 121 
1786184,86 125 
1786254,42 137 
1786690,14 66 
1787240,73 144 
1787242,56 144 
1787243,91 144 
1789937,36 101 
1789938,69 100 
1789938,69 53 
1789976,59 1
1789976,59 2
1789976,59 2
1789976,59 60 
1790176,78 111 
1790872,68 114 
1790909,6 60 
1792960,98 61 
1792973,46 63 
1792992,79 60 
1932300,96 61 
1933312,18 62 
1933347,09 64 
1933560,66 121 
1934085,96 125 
1934141,04 137 
1934592,25 66 
1935141,09 144 
1935142,71 144 
1935144,17 144 
1937451,57 101 
1937452,85 100 
1937452,85 53 
1937494,71 1
1937494,71 2
1937494,71 2
1937494,71 60 
1937727,11 112 
1938207,07 114 
1938244,29 60 
1938374,5 61 
1939395,28 62 
1940004,27 64 
1940221,43 123 
1940764,75 125 
1940876,52 137 
1941272,68 65 
1941821,26 144 
1941822,76 144 
1941824,4 144 
1943493,7 101 
1943494,99 100 
1943494,99 53 
1943542,7 1
1943542,7 2
1943542,7 1
1943542,7 60 
1943707,8 111 
1944187,85 114 
1944225,51 60 
1944371,8 61 
1945391 62 
1945539,36 64 
1945787,83 122 
1946358,79 125 
1946872,31 66 
1947061,49 137 
1947419,31 144 
1947420,81 144 
1947422,22 144 
1947900,73 101 
1947901,82 100 
1947901,82 53 
1947940,84 1
1947940,84 1
1947940,84 1
1947940,84 60 
2101016,46 61 
2102040,06 62 
2102090,94 64 
2112049,54 252 
2112049,54 101 
2112051,02 100 
2112051,02 53 
2112070,51 1
2112070,51 1
2112070,51 1
2112070,51 60 
2218463,41 61 
2219227,48 63 
2219235,87 60 
2317794,27 61 
2318741,57 63 
2318753,17 60 
2319045,15 111 
2319452,8 114 
2319488,19 60 
2319587,23 61 
2320601,15 62 
2321806,88 64 
2322073,9 121 
2322649,22 125 
2322670,31 137 
2323165,44 65 
2323712,13 144 
2323713,79 144 
2323714,95 144 
2324193,39 101 
2324194,51 100 
2324194,51 53 
2324234,02 2
2324234,02 2
2324234,02 2
2324234,02 60 
2324278,66 61 
2325299,68 62 
2325348,56 64 
2325649,07 121 
2326216,82 125 
2326248,31 137 
2326730,47 66 
2327277,55 144 
2327279,09 144 
2327280,18 144 
2329219,26 101 
2329220,7 100 
2329220,7 53 
2329265,83 1
2329265,83 1
2329265,83 1
2329265,83 60 
2329768,33 61 
2330781,23 62 
2331082,15 64 
2331325,16 121 
2331854,89 125 
2332233,71 137 
2332360,89 65 
2332910,75 144 
2332912,29 144 
2332913,26 144 
2333389,96 101 
2333391,34 100 
2333391,34 53 
2333431,56 1
2333431,56 1
2333431,56 1
2333431,56 60 
2333583,74 61 
2334598,25 62 
2334746,47 64 
2335005,07 121 
2335569,64 125 
2335686,71 137 
2336077,02 65 
2336626,31 144 
2336628,21 144 
2336629,2 144 
2337104,95 101 
2337106,02 100 
2337106,02 53 
2337147,95 1
2337147,95 1
2337147,95 1
2337147,95 60 
2337231,5 61 
2338232,45 63 
2338246,43 60 
2338505,02 111 
2338870,79 114 
2338914,29 60 
2339031,57 61 
2340045,36 62 
2340086,75 64 
2340316,34 121 
2340860,13 125 
2341034,36 137 
2341375,55 65 
2341910,72 101 
2341947,76 8
2341947,76 52 
2342016,9 100 
2342016,9 52 
2342028,88 1
2342028,88 2
2342028,88 2
2342028,88 60 
2342604,1 61 
2342612,39 63 
2342627,65 60 
2343973,67 111 
2345162,44 114 
2345195 60 
2345397,06 61 
