TotalRequired,  300
t_hold_target,  450
T_Hold_Lev,  1000


470477,77 66 
470518,13 137 
470940,14 144 
470942,13 144 
470943,29 144 
471405,84 101 
471407,03 100 
471407,03 53 
471447,26 1
471447,26 2
471447,26 2
471447,26 60 
479742,36 111 
479918,33 114 
479961,04 60 
480115,42 111 
480646,01 114 
480693,74 60 
483617,48 61 
484627,45 62 
489186,09 64 
489507,04 121 
490000,12 125 
490486,97 137 
490550,59 66 
490972,46 144 
490974,49 144 
490976 144 
491450,31 101 
491451,51 100 
491451,51 53 
491491,67 2
491491,67 1
491491,67 2
491491,67 60 
491760,86 61 
491808,16 63 
491823,4 60 
492082,61 61 
493091,8 62 
493575,96 64 
493908,37 121 
494429,25 125 
494866,81 137 
494952,92 65 
495377,3 144 
495378,67 144 
495379,67 144 
495865,28 101 
495866,53 100 
495866,53 53 
495905,61 1
495905,61 2
495905,61 2
495905,61 60 
496211,63 61 
497222,22 62 
497424,2 64 
497801,11 121 
498327,57 125 
498666,94 137 
498834,3 66 
499301,17 144 
499303,19 144 
499304,18 144 
499763,08 101 
499764,27 100 
499764,27 53 
499804,48 1
499804,48 2
499804,48 2
499804,48 60 
499833,45 61 
500855,63 62 
502561,06 64 
502882,41 121 
503436,1 125 
503836,17 137 
503948,74 66 
504398,81 144 
504400,73 144 
504402,05 144 
504878,74 101 
504879,91 100 
504879,91 53 
504919,58 1
504919,58 2
504919,58 2
504919,58 60 
504953,38 61 
505968,92 62 
506372,21 64 
506831,37 121 
507397,99 125 
507901,65 137 
507972,47 66 
508364,75 144 
508366,14 144 
508367,44 144 
508844,47 101 
508845,69 100 
508845,69 53 
508884,64 1
508884,64 2
508884,64 1
508884,64 60 
509057,76 111 
509683,86 114 
509718,54 60 
509982,13 61 
510973,05 63 
510984,12 60 
511295,62 113 
511389,62 114 
511433,87 60 
511726,24 61 
512749,37 62 
513294,76 64 
513586,73 123 
514119,84 125 
514504,64 137 
514629,87 65 
515060,85 144 
515062,76 144 
515064,64 144 
515541,21 101 
515542,48 100 
515542,48 53 
515582,52 2
515582,52 2
515582,52 2
515582,52 60 
515634,45 61 
516648,64 62 
516804,3 64 
517146,62 123 
517696,22 125 
518129,98 137 
518211,3 66 
518675,52 144 
518677,39 144 
518678,85 144 
520871,58 101 
520873,2 100 
520873,2 53 
520913,99 1
520913,99 2
520913,99 2
520913,99 60 
521134,05 113 
521305,73 114 
521347 60 
521592,16 61 
522613,4 62 
522966,06 64 
523304,35 123 
523837,98 125 
524360,46 65 
524480,34 137 
524808,76 144 
524810,45 144 
524812,33 144 
525287,42 101 
525288,6 100 
525288,6 53 
525330,72 1
525330,72 2
525330,72 2
525330,72 60 
525368,4 61 
526357,22 63 
526379 60 
527045,26 61 
528061,27 62 
528453,31 64 
528770,79 123 
529302,47 125 
529586 137 
529824,07 65 
530272,47 144 
530274,34 144 
530275,79 144 
530752,58 101 
530753,85 100 
530753,85 53 
530794,23 1
530794,23 2
530794,23 1
530794,23 60 
532288,98 61 
533106,65 63 
533126,56 60 
533695,37 61 
534710,96 62 
534956,14 64 
535227,16 123 
535749,26 125 
536019,48 137 
536256,09 65 
536705,66 144 
536707,28 144 
536708,95 144 
537184,79 101 
537185,93 100 
537185,93 53 
537225,58 1
537225,58 2
537225,58 2
537225,58 60 
537414,64 61 
538425,21 62 
538441,89 64 
538886,31 123 
539429,45 125 
539630,95 137 
539939,55 65 
540404,71 144 
540406,79 144 
540408,45 144 
540865,96 101 
540867,39 100 
540867,39 53 
540907,51 1
540907,51 2
540907,51 2
540907,51 60 
541030,1 61 
542042,23 62 
542057,08 64 
542492,37 123 
543029,41 125 
543366,08 137 
543538,58 65 
543984,68 144 
543986,3 144 
543987,43 144 
544465,46 101 
544466,69 100 
544466,69 53 
544506,67 1
544506,67 1
544506,67 2
544506,67 60 
544594,39 61 
545606,82 62 
545767,11 64 
546099,08 123 
546643,03 125 
547152,7 65 
547236,78 137 
547601,89 144 
547603,71 144 
547604,86 144 
548081,16 101 
548082,47 100 
548082,47 53 
548121,75 1
548121,75 2
548121,75 2
548121,75 60 
548257,52 61 
549271,58 62 
549631,25 64 
549926,77 123 
550445,65 125 
550766,25 137 
550968,71 65 
551415,73 144 
551417,9 144 
551419,37 144 
551896,4 101 
551897,66 100 
551897,66 53 
551937,14 2
551937,14 2
551937,14 2
551937,14 60 
551996,55 61 
553005,82 62 
553152,43 64 
553459,22 123 
553976,72 125 
554268,28 137 
554499,48 66 
554948,63 144 
554950,22 144 
554951,5 144 
556739,38 101 
556740,83 100 
556740,83 53 
556785,65 1
556785,65 2
556785,65 2
556785,65 60 
557024,19 113 
557264,27 114 
557301,74 60 
557561,7 61 
558584,09 62 
558794,3 64 
559117,3 123 
559635,64 125 
560147,36 65 
560200,01 137 
560597,24 144 
560599,63 144 
560600,81 144 
561077,14 101 
561078,29 100 
561078,29 53 
561118,74 2
561118,74 2
561118,74 2
561118,74 60 
561235,45 61 
562249,79 62 
562330,23 64 
562663,27 123 
563189,78 125 
563696,38 66 
563936,2 137 
564145,79 144 
564147,7 144 
564148,73 144 
564250,9 143 
564342,69 144 
564344,42 144 
564350,93 144 
564625,97 101 
564627,15 100 
564627,15 53 
564667,44 1
564667,44 1
564667,44 2
564667,44 60 
564731,36 61 
565748,55 62 
566113,97 64 
566430,33 123 
566967,89 125 
567478,57 65 
567883,28 144 
567884,57 144 
568090,36 144 
568375,49 101 
568376,76 100 
568376,76 53 
568415,17 1
568415,17 1
568415,17 1
568415,17 60 
568483,8 61 
569498,63 62 
571288,24 64 
571668,22 123 
572187,37 125 
572548,09 137 
572710,94 65 
573129 101 
573184,02 8
573184,02 51 
573242,31 100 
573242,31 51 
573264,62 2
573264,62 2
573264,62 2
573264,62 60 
573770,23 61 
574781,08 62 
574936,52 64 
576493,42 123 
577034,19 125 
577560 66 
578015,41 144 
578017,38 144 
578112,96 144 
578487,77 101 
578489,04 100 
578489,04 51 
578528,83 1
578528,83 2
578528,83 1
578528,83 60 
578567,09 61 
579596,85 62 
580225,81 64 
580586,23 123 
581128,98 125 
581410,3 137 
581641,63 65 
582090,5 144 
582092,01 144 
582093,19 144 
582568,83 101 
582569,99 100 
582569,99 51 
582610,43 1
582610,43 2
582610,43 2
582610,43 60 
582642,45 61 
583661,33 62 
584668,66 64 
584977,62 123 
585500,69 125 
586022,03 66 
586184,82 137 
586473,12 144 
586474,6 144 
586477,19 144 
586950,96 101 
586952,32 100 
586952,32 51 
586993,29 1
586993,29 2
586993,29 2
586993,29 60 
587122,23 61 
588143,06 62 
590475,89 64 
590816,09 123 
591345,74 125 
591855,68 66 
591875,85 137 
592303,08 144 
592304,6 144 
592307,19 144 
592782,15 101 
592783,34 100 
592783,34 51 
592824,99 1
592824,99 2
592824,99 1
592824,99 60 
593072,23 61 
594090,31 62 
594423,08 64 
594709,14 123 
595233,7 125 
595632,13 137 
595752,7 65 
596201,29 144 
596202,89 144 
596204,53 144 
598509,33 101 
598511,08 100 
598511,08 51 
598555,05 1
598555,05 1
598555,05 2
598555,05 60 
598851,26 113 
599138,47 114 
599188,06 60 
599446,48 61 
600455,78 62 
600510,55 64 
600819,65 123 
601344,53 125 
601829,89 137 
601899,47 66 
602316,34 144 
602317,87 144 
602318,88 144 
602795,28 101 
602796,5 100 
602796,5 51 
602837,42 1
602837,42 2
602837,42 2
602837,42 60 
602982,69 61 
604002,68 62 
606456,38 64 
606836,32 123 
606909,43 124 
614404,3 123 
614924,33 125 
615258,23 137 
615446,55 66 
615896,08 144 
615897,73 144 
615899,17 144 
616374,69 101 
616375,82 100 
616375,82 51 
616417,61 1
616417,61 2
616417,61 2
616417,61 60 
630932,69 61 
631943,4 62 
632143,99 64 
632474,68 121 
632999,59 125 
633191,55 137 
633508,71 65 
633954,52 144 
633956,23 144 
633957,55 144 
634897,22 101 
634898,43 100 
634898,43 51 
634926,6 2
634926,6 1
634926,6 2
634926,6 60 
636634,11 111 
636972,43 114 
637009,24 60 
637116,62 61 
638128,35 62 
638546,02 64 
638899,66 121 
639399,76 125 
639777,92 137 
639921,58 66 
640354,73 144 
640356,47 144 
640357,53 144 
640834,37 101 
640835,58 100 
640835,58 51 
640875,5 1
640875,5 2
640875,5 2
640875,5 60 
640934,5 61 
641958,18 62 
642448,24 64 
642821,47 121 
643355,65 124 
646168,89 121 
646719,86 125 
647083,81 137 
