TotalRequired,  100
t_hold_target,  450
T_Hold_Lev,  1000


836554,17 121 
837121,59 125 
837634,52 137 
837689,97 65 
838190,37 144 
838191,86 144 
838192,75 144 
838669,12 101 
838670,3 100 
838670,3 51 
838712,33 1
838712,33 2
838712,33 2
838712,33 60 
839189,05 61 
840210,07 62 
840313,13 64 
840746,97 121 
841314,86 125 
841822,73 65 
841869,56 137 
842372,42 144 
842374,11 144 
842375,6 144 
842852,3 101 
842853,53 100 
842853,53 51 
842893,36 1
842893,36 2
842893,36 2
842893,36 60 
843641,07 61 
844400,28 63 
844409,73 60 
844783,32 111 
846482,38 114 
846525,07 60 
846815,4 61 
847826,32 62 
848713,08 64 
849049,27 121 
849582,77 125 
850017,85 137 
850103,12 65 
850636,99 144 
850638,59 144 
850639,79 144 
851115,53 101 
851116,69 100 
851116,69 51 
851156,98 1
851156,98 2
851156,98 2
851156,98 60 
851338,55 61 
852346,56 63 
852356,39 60 
852766,95 111 
853276,47 114 
853322,65 60 
853595,57 61 
854606,81 62 
855763,38 64 
856173,66 121 
856694,15 125 
857203,05 65 
857216,76 137 
857734,14 144 
857735,74 144 
857737,11 144 
858212,79 101 
858214,07 100 
858214,07 51 
858254,71 1
858254,71 2
858254,71 1
858254,71 60 
858422,07 61 
859438,18 63 
859454,01 60 
859887,65 111 
861290,85 114 
861336,79 60 
861563,56 61 
862586,71 62 
863323,44 64 
863702,58 121 
864281,91 125 
864488,25 137 
864799,1 65 
865330,31 144 
865332,01 144 
865332,94 144 
865811,26 101 
865812,53 100 
865812,53 51 
865852,13 2
865852,13 2
865852,13 2
865852,13 60 
866125,22 61 
867138,02 62 
867286,52 64 
867672,32 121 
868193,18 125 
868556,8 137 
868714,12 66 
869263,7 144 
869265,62 144 
869266,75 144 
869742,45 101 
869743,72 100 
869743,72 51 
869784,08 2
869784,08 1
869784,08 2
869784,08 60 
869845,48 111 
870283,17 114 
870317,21 60 
870603,25 61 
871616,49 62 
872879,61 64 
873280,99 121 
873834,31 125 
874170,82 137 
874347,11 66 
874895,2 144 
874896,93 144 
874898,93 144 
878838,16 101 
878839,63 100 
878839,63 51 
878881,16 1
878881,16 2
878881,16 2
878881,16 60 
879236,01 111 
879905,17 114 
879930,81 60 
881012,36 61 
881643,69 63 
881663,34 60 
882419,24 111 
882642,8 114 
882680,92 60 
883388,61 111 
883588,47 114 
883630,32 60 
883915,79 61 
884929,23 62 
888421,26 64 
894231,76 121 
894750,26 125 
895271,58 65 
895826,34 144 
895828,34 144 
896301,97 101 
896303,14 100 
896303,14 51 
896325,4 1
896325,4 2
896325,4 2
896325,4 60 
896331,1 111 
897370,37 114 
897408,13 60 
897762,3 61 
898773,66 62 
898901,3 64 
899295,88 121 
899854,23 125 
900373,23 65 
900398,64 137 
900920,38 144 
900922,01 144 
900923,4 144 
901399,26 101 
901400,41 100 
901400,41 51 
901441,22 1
901441,22 2
901441,22 1
901441,22 60 
901600,75 61 
902622,38 62 
902708,77 64 
903082,53 121 
903641,62 125 
903913,08 137 
904153,28 65 
904700,98 144 
904702,72 144 
904703,97 144 
905181,41 101 
905182,74 100 
905182,74 51 
905222,36 1
905222,36 1
905222,36 2
905222,36 60 
905826,28 61 
906764,43 63 
906772,87 60 
907131,21 111 
907957,7 114 
908004,76 60 
908550,56 61 
909570,94 62 
909674,72 64 
910188,31 121 
910739,19 125 
911215,15 137 
911282,5 65 
911799,18 144 
911801,19 144 
911802,76 144 
912279,86 101 
912281,12 100 
912281,12 51 
912320,08 1
912320,08 1
912320,08 1
912320,08 60 
914536,25 111 
915622,74 114 
915668,91 60 
916620,45 111 
917709,97 114 
917751,78 60 
917823,31 112 
917906,84 114 
917951,55 60 
918121,76 111 
918666,56 114 
918701,23 60 
919011,08 111 
919167,9 114 
919200,96 60 
920215,31 112 
921026,18 114 
921068,07 60 
926933,54 61 
927948,06 62 
931386,14 64 
931762,75 121 
932329,63 125 
932844,32 65 
933397,45 144 
933399,4 144 
933872,1 101 
933873,31 100 
933873,31 51 
933896,39 1
933896,39 1
933896,39 2
933896,39 60 
933902,16 111 
934178,15 114 
934213,21 60 
934541,62 61 
935562,27 62 
935814,57 64 
936167,83 121 
936727,22 125 
937242,17 65 
937746,65 144 
937748,41 144 
938236,77 101 
938238,03 100 
938238,03 51 
938262,05 2
938262,05 2
938262,05 2
938262,05 60 
938267,09 111 
939893,64 114 
939928,82 60 
940791,62 111 
941879,51 114 
941910,79 60 
942232,64 61 
943244,87 62 
945336,53 64 
945695,26 121 
946243,11 125 
946707,16 137 
946755,33 66 
947305,61 144 
947306,88 144 
947307,87 144 
947783,47 101 
947784,81 100 
947784,81 51 
947825,06 2
947825,06 1
947825,06 2
947825,06 60 
948481,11 111 
948561,51 114 
948607,88 60 
948763,73 61 
949774,98 62 
950920,24 64 
951376,71 121 
951912,18 125 
952421,71 66 
952501,93 137 
952969,23 144 
952971,09 144 
952972,42 144 
953448,35 101 
953449,55 100 
953449,55 51 
953489,8 2
953489,8 1
953489,8 2
953489,8 60 
953548,44 61 
954572,03 62 
954863,23 64 
955264,47 121 
955826,66 125 
956196,51 137 
956335,67 66 
956871,99 101 
956924,28 8
956924,28 52 
956991,08 100 
956991,08 52 
957005,41 1
957005,41 2
957005,41 1
957005,41 60 
979558,03 61 
980516,39 63 
980532,06 60 
980850,55 61 
980913,32 63 
980930,66 60 
980936,42 61 
981015,04 63 
981030,45 60 
981447,99 111 
982692,52 114 
982731,67 60 
983078,45 61 
984097,02 62 
988927,7 64 
994104,96 252 
994104,96 101 
994106,74 100 
994106,74 52 
994126,58 1
994126,58 2
994126,58 1
994126,58 60 
1002477,52 111 
1002562,96 114 
1002607,11 60 
1003078,46 111 
1003296,96 114 
1003339,94 60 
1003537,5 111 
1003775,85 114 
1003823,35 60 
1031965,34 112 
1032068,17 114 
1032113,91 60 
1085135,38 61 
1086146,82 62 
1086165,34 64 
1086527,75 121 
1087084,25 125 
1087533 137 
1087594,92 65 
1088140,48 144 
1088142,24 144 
1088143,32 144 
1088621,2 101 
1088622,42 100 
1088622,42 52 
1088661,93 1
1088661,93 2
1088661,93 2
1088661,93 60 
1088804,86 61 
1089827,91 62 
1090104,26 64 
1090498,64 121 
1091018,84 125 
1091542,06 66 
1091761,43 137 
1092089,83 144 
1092091,46 144 
1092092,61 144 
1092568,61 101 
1092569,83 100 
1092569,83 52 
1092611,02 1
1092611,02 1
1092611,02 2
1092611,02 60 
1092649,45 61 
1093681,14 62 
1094694,51 64 
1097709,45 121 
1098259,49 125 
1098771,73 66 
1099325,62 144 
1099327,8 144 
1099490,62 144 
1103209,78 101 
1103211,12 100 
1103211,12 52 
1103257,07 1
1103257,07 2
1103257,07 2
1103257,07 60 
1103666,69 113 
1104063,62 114 
1104106,66 60 
1104390,33 61 
1105406,09 62 
1105734,27 64 
1106126,75 123 
1106661,84 125 
1106937,96 137 
1107169,56 66 
1107718,57 144 
1107720,11 144 
1107722,03 144 
1108055,25 142 
1108156,5 144 
1108158,37 144 
1108197,16 101 
1108198,42 100 
1108198,42 52 
1108239,89 1
1108239,89 1
1108239,89 2
1108239,89 60 
1108283,39 112 
1108506,27 114 
1108540,56 60 
1109672,29 61 
1110687,88 62 
1113151,24 64 
1113547,9 121 
1114088,84 125 
1114601,81 66 
1115156,22 144 
1115158,11 144 
1115300,27 144 
1117493,26 101 
1117494,59 100 
1117494,59 52 
1117535,75 2
1117535,75 2
1117535,75 2
1117535,75 60 
1180893,33 61 
1181314,25 63 
1181331,71 60 
1182121,81 111 
1182648,97 114 
1182682,09 60 
1185484,2 111 
1186550,48 114 
1186596,37 60 
1187486,59 61 
1188496,85 62 
1189971,37 64 
1190343,26 122 
1190898,3 125 
1190948,44 137 
1191409,1 66 
1191955,61 144 
1191958,09 144 
1191959,76 144 
1192435,86 101 
1192437,02 100 
1192437,02 52 
1192477,94 2
1192477,94 2
1192477,94 1
1192477,94 60 
1192516,44 111 
1194902,25 114 
1194927,04 60 
1194961,27 112 
1195032,52 114 
1195060,6 60 
1195180,13 112 
1195520,67 114 
1195559,93 60 
1196032,16 112 
1196983,98 114 
1197026,14 60 
1197359,88 111 
1197433,33 114 
1197460,43 60 
1198342,52 111 
1198426,09 114 
1198458,85 60 
1301935,65 61 
1302958,35 62 
1304067,39 64 
1304623,94 121 
1305147,5 125 
1305670,99 65 
1306240,22 144 
1306242,88 144 
1306459,9 144 
1306716,53 101 
1306717,73 100 
1306717,73 52 
1306756,74 1
1306756,74 2
1306756,74 2
1306756,74 60 
1306936,74 61 
1307955,65 62 
1308988,06 64 
1309382,91 121 
1309913,79 125 
1310435,58 66 
1310676,32 137 
1310990,04 144 
1310992,29 144 
1310993,71 144 
1311465,16 101 
1311466,42 100 
1311466,42 52 
1311505,32 1
1311505,32 2
1311505,32 2
1311505,32 60 
1311543,76 61 
1312573,94 62 
1312967,79 64 
1313361,09 121 
1313895,04 125 
1314417,89 66 
1314974,23 144 
1314976,5 144 
1315239,16 144 
1315446,79 101 
1315448,01 100 
1315448,01 52 
1315487,09 1
1315487,09 2
1315487,09 2
1315487,09 60 
1315544,34 61 
1316556,37 62 
1318562,32 64 
1318993,09 121 
1319555,62 125 
1320066,01 66 
1320570,5 144 
1320572,67 144 
1320787,52 144 
1321061,47 101 
1321062,7 100 
1321062,7 52 
1321102,1 2
1321102,1 2
1321102,1 2
1321102,1 60 
1321132,3 61 
1322151,95 62 
1323715,98 64 
1324266,67 122 
1324832,2 125 
1324994,75 137 
1325348,48 66 
1325871,6 144 
1325873,06 144 
1325874,01 144 
1327556,63 101 
1327557,79 100 
1327557,79 52 
1327599,71 1
1327599,71 1
1327599,71 1
1327599,71 60 
1328358,49 61 
1329368,34 62 
1330438,03 64 
1330867,21 122 
1331390,32 125 
1331912,6 65 
1332466,14 144 
1332467,91 144 
1332796,08 144 
1332939,8 101 
1332941,2 100 
1332941,2 52 
1332981,41 1
1332981,41 2
1332981,41 2
1332981,41 60 
1333451,68 61 
1334463,9 62 
1334580,02 64 
1334937,05 122 
1335471,54 125 
1335986,47 137 
1335995,46 65 
1336544,63 144 
1336546,09 144 
1336547,16 144 
1337022,78 101 
1337023,98 100 
1337023,98 52 
1337064,48 1
1337064,48 2
1337064,48 2
1337064,48 60 
1337165,62 61 
1338179,85 62 
1338348,08 64 
1338884,71 122 
1339405,37 125 
1339926,46 65 
1340180,96 137 
1340459,15 144 
1340460,85 144 
1340462,05 144 
1340938,95 101 
1340940,28 100 
1340940,28 52 
1340978,84 1
1340978,84 2
1340978,84 2
1340978,84 60 
1341009,97 61 
1342028,85 62 
1342064,08 64 
1342439,86 122 
1343014,55 125 
1343525,57 65 
1343918,36 137 
1344057 144 
1344058,67 144 
1344060,12 144 
1344537,44 101 
1344538,63 100 
1344538,63 52 
1344577,54 1
1344577,54 2
1344577,54 1
1344577,54 60 
1344649,91 61 
1345662,82 62 
1345815,4 64 
1346227,15 122 
1346751,5 125 
1347191,62 137 
1347274,64 65 
1347806,05 144 
1347807,67 144 
1347808,85 144 
1348286,31 101 
1348287,47 100 
1348287,47 52 
1348326,55 1
1348326,55 1
1348326,55 2
1348326,55 60 
1348423,39 61 
1349402,51 63 
1349410,56 60 
1350078,46 61 
1351092,56 62 
1351432,33 64 
1351906,58 122 
1352462,97 125 
1352765,21 137 
1352973,51 65 
1353501,93 144 
1353503,95 144 
1353505,45 144 
1353984,41 101 
1353985,58 100 
1353985,58 52 
1354024,59 2
1354024,59 2
1354024,59 2
1354024,59 60 
1354126,58 61 
1355139,91 62 
1355157,6 64 
1355640,86 122 
1356193,25 125 
1356705,11 66 
