TotalRequired,  320
t_hold_target,  450
T_Hold_Lev,  1000


1353328,94 122 
1353847,75 125 
1354330,8 137 
1354399,34 65 
1354916,69 144 
1354917,98 144 
1354919,02 144 
1355395,42 101 
1355396,6 100 
1355396,6 52 
1355420,63 2
1355420,63 2
1355420,63 2
1355420,63 60 
1357389,72 61 
1358372,96 63 
1358386 60 
1358698,07 112 
1359026,9 114 
1359053,38 60 
1359391,39 61 
1360401,87 62 
1360849,19 64 
1361142,01 122 
1361647,95 125 
1361987,49 137 
1362164,97 66 
1362714,68 144 
1362716,17 144 
1362717,61 144 
1372310,06 101 
1372312,36 100 
1372312,36 52 
1372348,16 2
1372348,16 2
1372348,16 2
1372348,16 60 
1372585,28 112 
1373000,44 114 
1373030,96 60 
1376095,11 61 
1376148,92 63 
1376163,49 60 
1376573,13 61 
1377522,45 63 
1377529,67 60 
1377864,33 112 
1378862,44 114 
1378895,93 60 
1384185,07 61 
1385194,67 62 
1390504,94 64 
1395201,69 252 
1395201,69 101 
1395203,61 100 
1395203,61 52 
1395224,76 2
1395224,76 2
1395224,76 2
1395224,76 60 
1504121,75 61 
1505136,96 62 
1505176,64 64 
1505592,88 121 
1506126,81 125 
1506390,33 137 
1506635,15 66 
1507167,24 144 
1507168,75 144 
1507170,12 144 
1507645,68 101 
1507646,93 100 
1507646,93 52 
1507686,88 1
1507686,88 1
1507686,88 1
1507686,88 60 
1510559,59 61 
1510578,63 63 
1510602,14 60 
1569794,95 61 
1570251,33 63 
1570266,1 60 
1570286,92 61 
1570316,94 63 
1570334,24 60 
1570937,16 61 
1571948,3 62 
1572172,35 64 
1581957,03 252 
1581957,03 101 
1581958,61 100 
1581958,61 52 
1581978,79 1
1581978,79 1
1581978,79 1
1581978,79 60 
1601536,34 61 
1602554,89 62 
1602613,28 64 
1612563,95 252 
1612563,95 101 
1612565,71 100 
1612565,71 52 
1612585,75 1
1612585,75 1
1612585,75 1
1612585,75 60 
1649556,18 61 
1650572,32 62 
1651152,71 64 
1651442,11 121 
1651964,3 125 
1652370,97 137 
1652485,38 65 
1653034,63 144 
1653036,22 144 
1653037,34 144 
1653514,45 101 
1653515,67 100 
1653515,67 52 
1653555,28 1
1653555,28 1
1653555,28 2
1653555,28 60 
1654241,79 61 
1655255,1 62 
1655492,92 64 
1655769,04 121 
1656123,99 124 
1666128,34 252 
1666128,34 101 
1666129,97 100 
1666129,97 52 
1666150,81 1
1666150,81 1
1666150,81 2
1666150,81 60 
1755789,69 61 
1756803,51 62 
1756961,74 64 
1766813,21 252 
1766813,21 101 
1766814,94 100 
1766814,94 52 
1766834,64 1
1766834,64 1
1766834,64 2
1766834,64 60 
1781577,01 112 
1782277,71 114 
1782313,8 60 
1869860,46 61 
1870883,08 62 
1871050,54 64 
1871453,78 121 
1871976,38 125 
1872042,13 137 
1872495,11 65 
1873049,21 144 
1873050,99 144 
1873052,24 144 
1873525,45 101 
1873526,59 100 
1873526,59 52 
1873566,67 1
1873566,67 2
1873566,67 2
1873566,67 60 
1873785,16 61 
1874798,09 62 
1874996,56 64 
1875253,46 121 
1875792,49 125 
1876140,67 137 
1876311,18 66 
1876859,89 144 
1876861,35 144 
1876863,02 144 
1881015,8 101 
1881017,79 100 
1881017,79 52 
1881063,39 1
1881063,39 2
1881063,39 2
1881063,39 60 
1881410,86 61 
1882429,1 62 
1882826,2 64 
1883116,27 121 
1883674,58 125 
1883836,26 137 
1884193,03 66 
1884740,75 144 
1884742,31 144 
1884743,68 144 
1886092,31 101 
1886094,51 100 
1886094,51 52 
1886129,47 2
1886129,47 2
1886129,47 2
1886129,47 60 
1886403,55 113 
1886674,26 114 
1886712,35 60 
1886938,42 61 
1887960,24 62 
1888211,83 64 
1888485,02 122 
1889000,66 125 
1889374,81 137 
1889507,03 66 
1890040,47 144 
1890042 144 
1890043,31 144 
1892244,01 101 
1892245,9 100 
1892245,9 52 
1892292,93 1
1892292,93 2
1892292,93 2
1892292,93 60 
1892555,02 112 
1892925,5 114 
1892975,97 60 
1893203,71 61 
1894225,23 62 
1894327,38 64 
1894736,4 123 
1895270,48 125 
1895788,65 66 
1896034,09 137 
1896337,43 144 
1896338,85 144 
1896339,82 144 
1896817,41 101 
1896818,52 100 
1896818,52 52 
1896858,91 1
1896858,91 1
1896858,91 1
1896858,91 60 
1897004,38 61 
1898024,74 62 
1899884,02 64 
1908033,4 252 
1908033,4 101 
1908035,19 100 
1908035,19 52 
1908055,06 1
1908055,06 1
1908055,06 1
1908055,06 60 
1983812,19 61 
1984681,86 63 
1984695,68 60 
2120713,74 61 
2121734,28 62 
2121921,88 64 
2122193,89 121 
2122723,38 125 
2122765,51 137 
2123246,78 65 
2123795,93 144 
2123797,53 144 
2123798,99 144 
2124276,21 101 
2124277,39 100 
2124277,39 52 
2124317,12 1
2124317,12 2
2124317,12 2
2124317,12 60 
2124357,84 61 
2125366,76 62 
2125466,79 64 
2125969,76 121 
2126540,55 125 
2126581,13 137 
2127063,22 66 
2127612,61 144 
2127614,04 144 
2127615,46 144 
2128149,6 101 
2128150,75 100 
2128150,75 52 
2128198,06 1
2128198,06 2
2128198,06 2
2128198,06 60 
2129689,95 61 
2129696,5 63 
2129714,17 60 
2130025,37 111 
2130211,31 114 
2130263,91 60 
2130421 61 
2131430,7 62 
2131739,57 64 
2132050,98 122 
2132617,29 125 
2132650,24 137 
2133126,67 65 
2133659,19 144 
2133661,06 144 
2133662,04 144 
2134137,77 101 
2134138,96 100 
2134138,96 52 
2134179,29 2
2134179,29 2
2134179,29 1
2134179,29 60 
2134297,86 61 
2135311,56 62 
2135606,08 64 
2135891,65 122 
2136470,02 125 
2136627,67 137 
2136992,92 66 
2137542,22 144 
2137543,54 144 
2137544,47 144 
2139756,51 101 
2139758,28 100 
2139758,28 52 
2139794,38 1
2139794,38 1
2139794,38 2
2139794,38 60 
2140331,49 61 
2141343,46 62 
2141809,99 64 
2142120,12 122 
2142650,71 125 
2142872,49 137 
2143173,11 65 
2143699,23 144 
2143701,08 144 
2143702,16 144 
2144185,09 101 
2144186,2 100 
2144186,2 52 
2144226,32 2
2144226,32 2
2144226,32 2
2144226,32 60 
2144342,11 61 
2145359,13 62 
2145491,58 64 
2145866,79 122 
2146400,47 125 
2146741,71 137 
2146922,17 66 
2147455,56 144 
2147457,16 144 
2147458,68 144 
2149029,53 101 
2149031,09 100 
2149031,09 52 
2149074,5 2
2149074,5 2
2149074,5 2
2149074,5 60 
2149332,06 112 
2149590,38 114 
2149640,71 60 
2149791,95 61 
2150807,41 62 
2151221,64 64 
2151514,13 122 
2152047,91 125 
2152556,21 137 
2152620,12 66 
2153119,4 144 
2153121,17 144 
2153122,47 144 
2155435,79 101 
2155437,64 100 
2155437,64 52 
2155472,36 1
2155472,36 1
2155472,36 1
2155472,36 60 
2155794,36 112 
2156233,71 114 
2156272,03 60 
2156442,7 61 
2157454,82 62 
2157981,07 64 
2158333,85 122 
2158894,2 125 
2159263,86 137 
2159418,62 65 
2159966,96 144 
2159968,43 144 
2159969,68 144 
2160447,03 101 
2160448,24 100 
2160448,24 52 
2160487,37 2
2160487,37 1
2160487,37 2
2160487,37 60 
2160566,21 61 
2161587,77 62 
2161719,72 64 
2162014,55 122 
2162575,25 125 
2162825,73 137 
2163083,46 66 
2163618,45 101 
2163656,36 8
2163656,36 51 
2163736,44 100 
2163736,44 51 
2163753,11 2
2163753,11 1
2163753,11 2
2163753,11 60 
2164027,31 61 
2165037,16 62 
2165413,78 64 
2165677,1 122 
2166255,9 125 
2166471,54 137 
2166765,62 66 
2167313,63 144 
2167315,01 144 
2167316 144 
2169518,88 101 
2169519,99 100 
2169519,99 51 
2169567,64 1
2169567,64 2
2169567,64 2
2169567,64 60 
2169753 112 
2171144,03 114 
2171184,01 60 
2171875,69 61 
2172885,65 62 
2173274,76 64 
2173663,92 122 
2174192,61 125 
2174469,43 137 
2174714,01 66 
2175262,93 144 
2175264,26 144 
2175265,52 144 
2175740,56 101 
2175741,8 100 
2175741,8 51 
2175782,33 1
2175782,33 2
2175782,33 2
2175782,33 60 
2182567,72 61 
2183579,05 62 
2183877,09 64 
2193587,7 252 
2193587,7 101 
2193589,53 100 
2193589,53 51 
2193609,6 1
2193609,6 2
2193609,6 2
2193609,6 60 
2245986,56 61 
2247008,38 62 
2247214,51 64 
2247488,62 121 
2248014,25 125 
2248280,48 137 
2248523,46 65 
2249070,62 144 
2249071,88 144 
2249072,93 144 
2249550,94 101 
2249552,23 100 
2249552,23 51 
2249591,11 1
2249591,11 2
2249591,11 1
2249591,11 60 
2249633,81 61 
2250660,1 62 
2250835,23 64 
2251137,84 121 
2251631,23 124 
2254516,12 121 
2255083,38 125 
2255167,79 137 
2255602,21 65 
2256151,66 144 
2256153,23 144 
2256154,16 144 
2256630,57 101 
2256631,9 100 
2256631,9 51 
2256672,2 2
2256672,2 1
2256672,2 2
2256672,2 60 
2256802,36 61 
2257821,6 62 
2257868,02 64 
2258304,83 121 
2258855,21 125 
2258915,4 137 
2259368,36 66 
2259917,87 144 
2259919,5 144 
2259920,65 144 
2260327,75 141 
2260462,95 144 
2260465,45 144 
2260467,64 101 
2260469,35 100 
2260469,35 51 
2260521,14 1
2260521,14 2
2260521,14 2
2260521,14 60 
2260562,92 111 
2260882,22 114 
2260920,97 60 
2269248,33 111 
2270103,11 114 
2270151,11 60 
2387114,58 61 
2388127,94 62 
2388341,71 64 
2388645,57 121 
2389177,21 125 
2389347,8 137 
2389691,62 65 
2390240,68 144 
2390242,17 144 
2390243,34 144 
2390720,63 101 
2390721,81 100 
2390721,81 51 
2390761,21 1
2390761,21 2
2390761,21 2
2390761,21 60 
2390830,79 61 
2391844,07 62 
2391983,79 64 
2392286,75 121 
2392817,92 125 
2393109,02 137 
2393340,98 65 
2393889,84 144 
2393891,31 144 
2393892,65 144 
2394369,34 101 
2394370,5 100 
2394370,5 51 
2394410,11 1
2394410,11 2
2394410,11 2
2394410,11 60 
2394610,44 61 
2395625,4 62 
2395766,74 64 
2396107,79 121 
2396678,07 125 
2397023,14 137 
2397188,77 65 
2397746,81 144 
2397748,77 144 
2397751,16 144 
2398217,43 101 
2398218,67 100 
2398218,67 51 
2398259,03 1
2398259,03 2
2398259,03 1
2398259,03 60 
2398479,49 61 
2399491,18 62 
2399752,42 64 
2400033,35 121 
2400607,33 125 
2400799,39 137 
2401121,45 65 
2401670,02 144 
2401671,78 144 
2401673,19 144 
2402149,88 101 
2402151,03 100 
2402151,03 51 
2402190,89 1
2402190,89 2
2402190,89 2
2402190,89 60 
2402345,88 61 
2403356,82 62 
2403504,78 64 
2403825,93 121 
2404377,37 125 
2404735,39 137 
2404887,23 65 
2405436,77 144 
2405438,04 144 
2405439,08 144 
2405915,77 101 
2405917,3 100 
