TotalRequired,  250
t_hold_target,  450
T_Hold_Lev,  1000


712877,62 51 
712918,45 1
712918,45 1
712918,45 2
712918,45 60 
713389 61 
714301,64 63 
714317,95 60 
714677,16 111 
715181,44 114 
715217,51 60 
715462,52 61 
716483,96 62 
716924,46 64 
717255,14 121 
717778,54 125 
718295,29 65 
718303,16 137 
718550,37 144 
718552,04 144 
718553,49 144 
718787,71 141 
718884,65 144 
718886,69 144 
718887,69 144 
719024,21 101 
719025,51 100 
719025,51 51 
719066,13 2
719066,13 2
719066,13 2
719066,13 60 
719461,95 61 
720483,36 62 
720541,64 64 
720940,83 121 
721493,25 125 
721947,24 137 
722011,87 66 
722282,5 144 
722284,43 144 
722287,24 144 
722756,96 101 
722758,15 100 
722758,15 51 
722798,33 1
722798,33 2
722798,33 2
722798,33 60 
724158,73 61 
725181,58 62 
725806,6 64 
726121,46 121 
726640,01 125 
727160,58 65 
727437,42 144 
727439,56 144 
727643,61 144 
727904,4 101 
727905,68 100 
727905,68 51 
727949,29 1
727949,29 2
727949,29 2
727949,29 60 
728345,6 61 
729362,77 62 
729574,57 64 
729950,66 121 
730470,57 125 
730821,17 137 
730993,43 65 
731243,88 144 
731248,63 144 
731250,56 144 
731719,89 101 
731721,08 100 
731721,08 51 
731761,99 1
731761,99 2
731761,99 1
731761,99 60 
732126,23 61 
733144,2 62 
733216,74 64 
733675,46 121 
734222,49 125 
734742,2 65 
735001,09 144 
735006,29 144 
735306,05 144 
735469,95 101 
735471,12 100 
735471,12 51 
735510,73 2
735510,73 2
735510,73 2
735510,73 60 
735874,18 61 
736894,21 62 
736953,31 64 
737332,17 121 
737890,41 125 
738406,92 66 
738448,78 137 
738655,45 144 
738657,2 144 
738658,45 144 
739134,12 101 
739135,39 100 
739135,39 51 
739176,16 1
739176,16 2
739176,16 2
739176,16 60 
739304,38 61 
740325,5 62 
740700,89 64 
741044,82 121 
741584,6 125 
742106,49 65 
742358,65 144 
742362,24 144 
742669,22 144 
742832,83 101 
742834,02 100 
742834,02 51 
742875,22 1
742875,22 2
742875,22 2
742875,22 60 
743425,59 61 
744381,78 63 
744392,41 60 
744800,62 111 
744993,1 114 
745040,78 60 
745133,74 61 
746158,78 62 
746641,04 64 
747049,18 121 
747595,17 125 
748039,66 137 
748102,4 65 
748350,46 144 
748352,53 144 
748353,75 144 
748831,11 101 
748832,29 100 
748832,29 51 
748873,04 1
748873,04 1
748873,04 1
748873,04 60 
749234,36 61 
750256,35 62 
750486,8 64 
750839,18 121 
751392,31 125 
751786,75 137 
751901,32 65 
752153,64 144 
752155,26 144 
752156,76 144 
752630,78 101 
752632,03 100 
752632,03 51 
752671,59 1
752671,59 2
752671,59 2
752671,59 60 
753077,52 61 
754089,62 62 
754104,8 64 
754466,78 121 
755020,86 125 
755294,76 137 
755533,1 65 
755786,38 144 
755787,95 144 
755789,63 144 
756262,65 101 
756263,86 100 
756263,86 51 
756303,65 1
756303,65 2
756303,65 2
756303,65 60 
757502,8 61 
758451,72 63 
758469,89 60 
758781,2 111 
759691,23 114 
759736,33 60 
760071,13 61 
761086,29 62 
761989,63 64 
762349,98 121 
762877,36 125 
763397,01 65 
763661,9 144 
763664,06 144 
764126,53 101 
764127,75 100 
764127,75 51 
764151,21 2
764151,21 1
764151,21 2
764151,21 60 
764157,39 111 
764484,28 114 
764519,28 60 
765204,26 61 
766120,04 63 
766133,88 60 
766496,61 111 
766717,39 114 
