TotalRequired,  300
t_hold_target,  450
T_Hold_Lev,  1000


685940,55 61 
686959,44 62 
687445,2 64 
696968,13 252 
696968,13 101 
696970,03 100 
696970,03 53 
696990,49 1
696990,49 2
696990,49 2
696990,49 60 
701397,21 61 
702406,1 62 
703414,01 64 
709349,85 121 
709906,75 125 
710416,53 66 
710596,2 137 
710849,19 144 
710851,54 144 
710852,85 144 
712633,38 101 
712634,85 100 
712634,85 53 
712684,98 1
712684,98 2
712684,98 2
712684,98 60 
713808,39 61 
714818,66 62 
715801,99 64 
724825,12 252 
724825,12 101 
724827,1 100 
724827,1 53 
724848,36 1
724848,36 2
724848,36 2
724848,36 60 
726936,45 111 
727008,03 114 
727030,69 60 
728491,58 111 
728590,36 114 
728629,95 60 
728643,2 112 
728678,37 114 
728729,67 60 
755777,39 61 
756788 62 
759000,27 64 
759435,76 121 
759975,77 125 
760098,57 137 
760484,18 66 
760933,86 144 
760935,43 144 
760936,81 144 
763701,97 101 
763703,49 100 
763703,49 53 
763751,54 1
763751,54 1
763751,54 2
763751,54 60 
764010,62 113 
764307,64 114 
764351,28 60 
764591,48 61 
765602,41 62 
771668,54 64 
775609,54 252 
775609,54 101 
775611,44 100 
775611,44 53 
775632,39 1
775632,39 1
775632,39 2
775632,39 60 
814752,09 61 
815454,91 63 
815467,98 60 
860884,07 61 
861902,47 62 
862411,8 64 
871911,59 252 
871911,59 101 
871913,37 100 
871913,37 53 
871932,36 1
871932,36 1
871932,36 2
871932,36 60 
876029,34 111 
876123,2 114 
876164,45 60 
921647,4 111 
922022,99 114 
922065,74 60 
945270,39 61 
946291,94 62 
946590,6 64 
947019,35 121 
947549,37 125 
947700,05 137 
948070,02 65 
948544,92 144 
948546,63 144 
948547,61 144 
948998,7 101 
948999,99 100 
948999,99 53 
949040,48 1
949040,48 2
949040,48 1
949040,48 60 
949273,11 61 
950290,94 62 
950671,43 64 
950994,67 121 
951558,03 125 
952069,92 66 
952541,93 144 
952543,96 144 
953014,35 101 
953015,71 100 
953015,71 53 
953040,42 1
953040,42 2
953040,42 2
953040,42 60 
953046,01 111 
954418,94 114 
954456,42 60 
954751,08 61 
955770,68 62 
955856,54 64 
956255,21 121 
956828,58 125 
957054,27 137 
957350,16 66 
957801,55 144 
957803,47 144 
957804,48 144 
959481,35 101 
959482,91 100 
959482,91 53 
959520,33 1
959520,33 2
959520,33 2
959520,33 60 
959861,87 111 
960802,68 114 
960853,3 60 
961884,81 61 
962903,39 62 
963024,98 64 
963415,13 123 
963927,57 125 
964249,5 137 
964448,72 65 
964912,75 144 
964914,48 144 
964915,67 144 
965377,24 101 
965378,52 100 
965378,52 53 
965418,68 1
965418,68 2
965418,68 2
965418,68 60 
965458,18 61 
966485,92 62 
966599,44 64 
966930,02 123 
967457,37 125 
967813,01 137 
967979,82 65 
968432,12 144 
968433,87 144 
968435,06 144 
968908,66 101 
968909,82 100 
968909,82 53 
968950,52 1
968950,52 2
968950,52 2
968950,52 60 
969125,07 61 
970135,88 62 
970388,86 64 
970683,72 123 
971221,36 125 
971730,29 65 
971744,23 137 
972163,84 144 
972166,05 144 
972167,14 144 
972640,73 101 
972642,16 100 
972642,16 53 
972682,47 2
972682,47 1
972682,47 1
972682,47 60 
972832,82 61 
973848,77 62 
974733,14 64 
975051,36 123 
975556,99 125 
975911,8 137 
976078,85 66 
976543,1 144 
976544,57 144 
976546,34 144 
978262,04 101 
978263,59 100 
978263,59 53 
978314,92 1
978314,92 2
978314,92 2
978314,92 60 
978564,3 113 
979099,27 114 
979147,97 60 
979403,27 61 
980414,89 62 
980558,03 64 
981100,01 123 
981622,27 125 
982143,96 65 
982615,99 144 
982618,16 144 
983088,17 101 
983089,86 100 
983089,86 53 
983114,07 1
983114,07 2
983114,07 2
983114,07 60 
983119,62 113 
984035,76 114 
984078,67 60 
984573,03 61 
985595,67 62 
985729,86 64 
986034,93 123 
986569,53 125 
987090,45 65 
987133,88 137 
987542,03 144 
987543,73 144 
987545,05 144 
988019,38 101 
988020,55 100 
988020,55 53 
988060,8 1
988060,8 2
988060,8 2
988060,8 60 
988164,46 61 
989177,96 62 
989236,35 64 
989636,16 123 
990209,12 125 
990459,53 137 
990723,93 65 
991172,9 144 
991174,63 144 
991176,14 144 
991651,89 101 
991653,01 100 
991653,01 53 
991692,75 2
991692,75 2
991692,75 2
991692,75 60 
991733,96 61 
992744,5 62 
992951,63 64 
993302,08 123 
993833,84 125 
994354,96 66 
994503,72 137 
994780,02 144 
994781,57 144 
994783,86 144 
995014,42 143 
995092,52 144 
995094,25 144 
995097,78 144 
995267,82 101 
995269 100 
995269 53 
995293,56 1
995293,56 1
995293,56 1
995293,56 60 
995461,42 61 
996473,76 62 
996945,88 64 
997245,59 123 
997781,29 125 
998304,26 65 
998335,88 137 
998771,86 144 
998774 144 
998775,34 144 
999231,89 101 
999233,18 100 
999233,18 53 
999273,69 2
999273,69 1
999273,69 2
999273,69 60 
999599,94 61 
1000624,32 62 
1002044,82 64 
1002396,51 123 
1002947,61 125 
1003129,9 137 
1003469,27 66 
1003903,72 144 
1003905,37 144 
1003908,61 144 
1006315,79 101 
1006317,36 100 
1006317,36 53 
1006371,39 2
1006371,39 2
1006371,39 2
1006371,39 60 
1006680,3 113 
1007208,14 114 
1007254,13 60 
1007613,83 61 
1008636,36 62 
1010466,69 64 
1010887,16 121 
1011410,52 125 
1011669,87 137 
1011933,85 66 
1012384,06 144 
1012385,75 144 
1012387,45 144 
1022203,59 101 
1022205,66 100 
1022205,66 53 
1022249,42 1
1022249,42 1
1022249,42 1
1022249,42 60 
1026651,3 111 
1028426,12 114 
1028463,72 60 
1028668,51 61 
1029680,92 62 
1030523,72 64 
1030895,03 123 
1031421,24 125 
1031906,01 137 
1031981,73 65 
1032378,71 101 
1032431,51 8
1032431,51 51 
1032494,01 100 
1032494,01 51 
1032513,11 1
1032513,11 2
1032513,11 2
1032513,11 60 
1033145,69 61 
1034161,48 62 
1034199,01 64 
1034616,86 123 
1035153,68 125 
1035675,89 66 
1036149,74 144 
1036151,6 144 
1036152,73 144 
1036622,15 101 
1036623,35 100 
1036623,35 51 
1036661,43 1
1036661,43 2
1036661,43 2
1036661,43 60 
1046738,34 113 
1047131,25 114 
1047174,22 60 
1047388,59 61 
1048407,75 62 
1048524,91 64 
1048866,98 123 
1049443,01 125 
1049609,49 137 
1049953,85 66 
1050403,94 144 
1050405,51 144 
1050406,81 144 
1052277,75 101 
1052279,36 100 
1052279,36 51 
1052323,06 1
1052323,06 2
1052323,06 1
1052323,06 60 
1052612,47 113 
1053499,56 114 
1053522,79 60 
1054363,69 61 
1055372,41 62 
1055636,06 64 
1055978,55 121 
1056510,83 125 
1056794,11 137 
1057019,95 65 
1057452,77 144 
1057454,28 144 
1057455,39 144 
1059216,07 101 
1059218,42 100 
1059218,42 51 
1059254,85 2
1059254,85 1
1059254,85 2
1059254,85 60 
1059566,07 111 
1059935,72 114 
1059987,2 60 
1060091,11 61 
1061103,26 62 
1061460,67 64 
1061785,76 121 
1062311,75 125 
1062727,81 137 
1062832,53 66 
1063283,47 144 
1063285,21 144 
1063286,5 144 
1065791,21 101 
1065792,82 100 
1065792,82 51 
1065834,85 1
1065834,85 2
1065834,85 2
1065834,85 60 
1066128,14 111 
1066959,46 114 
1067001,52 60 
1067381,1 61 
1068400,95 62 
1068753,98 64 
1069100,55 121 
1069673,59 125 
1069991,18 137 
1070180,57 65 
1070631,24 144 
1070633,33 144 
1070634,83 144 
1071109,65 101 
1071110,83 100 
1071110,83 51 
1071150,02 1
1071150,02 2
1071150,02 2
1071150,02 60 
1071192,4 61 
1072219,68 62 
1072310,26 64 
1072661,24 121 
1073234,86 125 
1073576,3 137 
1073745,26 65 
1074198,61 144 
1074200,22 144 
1074201,65 144 
1074674,45 101 
1074675,64 100 
1074675,64 51 
1074715,3 1
1074715,3 2
1074715,3 1
1074715,3 60 
1074912,47 61 
1075930,51 62 
1075948,5 64 
1076292,49 121 
1076822,62 125 
1077190,33 137 
1077345,67 65 
1077778,36 144 
1077779,97 144 
1077781,28 144 
1078255,71 101 
1078257,01 100 
1078257,01 51 
1078297,54 1
1078297,54 1
1078297,54 2
1078297,54 60 
1078450,99 61 
1079370,37 63 
1079382,02 60 
1079743,28 111 
1081243,98 114 
1081296,63 60 
1081559,22 61 
1082578,99 62 
1084549,96 64 
1084845,7 121 
1085400,89 125 
1085549,63 137 
1085908,98 65 
1086358,03 144 
1086359,85 144 
1086361,77 144 
1086837,55 101 
1086838,8 100 
1086838,8 51 
1086878,02 1
1086878,02 2
1086878,02 2
1086878,02 60 
1087140,16 61 
1088162,38 62 
1088215,52 64 
1088568,64 121 
1089133,45 125 
1089389,25 137 
1089656,22 65 
1090108,16 144 
1090109,81 144 
1090111,55 144 
1090586,67 101 
1090587,89 100 
1090587,89 51 
1090627,86 2
1090627,86 2
1090627,86 2
1090627,86 60 
1091014,8 61 
1091900,14 63 
1091910,54 60 
1092248,77 111 
1092448,55 114 
1092492,64 60 
1092688,46 61 
1093574,15 63 
1093592,29 60 
1093940,66 111 
1094381,04 114 
1094426,6 60 
1094618,14 61 
1095627,73 62 
1096003,89 64 
1096293,51 121 
1096847,23 125 
1097214,56 137 
1097355,72 66 
1097805,4 144 
1097807,03 144 
1097808,03 144 
1098283,38 101 
1098284,66 100 
1098284,66 51 
1098324,13 1
1098324,13 1
1098324,13 2
1098324,13 60 
1100553,02 111 
1101086,63 114 
1101124,39 60 
1101401,64 61 
1102422,81 62 
1103516,12 64 
